perfume_slug,perfume_name,brand,image_role,source_url,source_domain,local_file,license_status,original_width,original_height,aspect_ratio,background_type,product_crop,visual_quality,needs_processing,processing_status,final_file,reviewed_by,review_date,notes
1-million,1 Million,Paco Rabanne,catalog-primary,https://m.media-amazon.com/images/I/518jalZnh4L._SL1000_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
1-million,1 Million,Paco Rabanne,editorial-hero,apps/web/public/ovl/1-million.jpg,not-applicable,apps/web/public/ovl/1-million.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
acqua-di-gio-edt,Acqua di Gio EDT,Giorgio Armani,catalog-primary,https://m.media-amazon.com/images/I/51DpfV3dkVL._SL1500_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
acqua-di-gio-edt,Acqua di Gio EDT,Giorgio Armani,editorial-hero,apps/web/public/ovl/acqua-di-gio-edt.jpg,not-applicable,apps/web/public/ovl/acqua-di-gio-edt.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
angel-edp,Angel EDP,Mugler,catalog-primary,https://m.media-amazon.com/images/I/61Wc29CbTBL._SL1000_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
angel-edp,Angel EDP,Mugler,editorial-hero,apps/web/public/ovl/angel-edp.jpg,not-applicable,apps/web/public/ovl/angel-edp.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
aventus,Aventus,Creed,catalog-primary,https://m.media-amazon.com/images/I/71nY6hb7uuL._SL1500_.jpg,m.media-amazon.com,not-applicable,affiliate-approved,1500,1500,1:1,white-studio,full-bottle,high,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05. Piloto Fase 2 — revisión 2026-08-05: imagen verificada en vivo (1500x1500px). Fondo blanco de estudio, botella completa Creed Aventus sin cortes, alta nitidez, sin watermark de retailer. Sin hallazgos."
aventus,Aventus,Creed,editorial-hero,apps/web/public/ovl/aventus.jpg,not-applicable,apps/web/public/ovl/aventus.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
baccarat-rouge-540-edp,Baccarat Rouge 540 EDP,Maison Francis Kurkdjian,catalog-primary,https://m.media-amazon.com/images/I/71xVLhLWrvL._SL1500_.jpg,m.media-amazon.com,not-applicable,affiliate-approved,1200,1500,4:5,white-studio,full-bottle,high,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05. Piloto Fase 2 — revisión 2026-08-05: imagen verificada en vivo (1200x1500px). Fondo blanco de estudio, botella completa junto a su caja (Maison Francis Kurkdjian, Extrait de Parfum), alta nitidez, sin watermark de retailer. Sin hallazgos."
baccarat-rouge-540-edp,Baccarat Rouge 540 EDP,Maison Francis Kurkdjian,editorial-hero,apps/web/public/ovl/baccarat-rouge-540-edp.jpg,not-applicable,apps/web/public/ovl/baccarat-rouge-540-edp.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
black-opium-edp,Black Opium EDP,Yves Saint Laurent,catalog-primary,https://m.media-amazon.com/images/I/71w9icubQlL._SL1500_.jpg,m.media-amazon.com,not-applicable,affiliate-approved,1500,1500,1:1,white-studio,full-bottle,high,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05. Piloto Fase 2 — revisión 2026-08-05: imagen verificada en vivo (1500x1500px). Fondo blanco de estudio, botella completa junto a su caja, etiqueta confirma 'Eau de Parfum' (coincide con nombre de catálogo), alta nitidez, sin watermark de retailer. Sin hallazgos."
black-opium-edp,Black Opium EDP,Yves Saint Laurent,editorial-hero,apps/web/public/ovl/black-opium-edp.jpg,not-applicable,apps/web/public/ovl/black-opium-edp.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
bleu-de-chanel-edp,Bleu de Chanel EDP,Chanel,catalog-primary,https://m.media-amazon.com/images/I/41tz3PhoH9L._SL1000_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
bleu-de-chanel-edp,Bleu de Chanel EDP,Chanel,editorial-hero,apps/web/public/ovl/bleu-de-chanel-edp.jpg,not-applicable,apps/web/public/ovl/bleu-de-chanel-edp.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
bombshell,Bombshell,Victoria's Secret,catalog-primary,https://cdn.notinoimg.com/detail_main_mq/victorias-secret/0667524664424_01-o/bombshell___210810.jpg,cdn.notinoimg.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde cdn.notinoimg.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
bombshell,Bombshell,Victoria's Secret,editorial-hero,apps/web/public/ovl/bombshell.jpg,not-applicable,apps/web/public/ovl/bombshell.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
chance-eau-tendre,Chance Eau Tendre,Chanel,catalog-primary,https://m.media-amazon.com/images/I/81ZOAYdt2pL._SL1500_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
