slug,nombre,marca,genero,familia_olfativa,notas_salida,notas_corazon,notas_fondo,precio_referencia,moneda,categoria_precio,imagen_url,link_afiliado,descripcion_corta,nicho_o_comercial
1-million,1 Million,Paco Rabanne,masculino,amaderado especiado,pomelo;menta,canela;especias;rosa,cuero;patchouli;ambar,105.00,USD,medio,https://m.media-amazon.com/images/I/518jalZnh4L._SL1000_.jpg,https://www.amazon.com/dp/B00F4A6ZKK?tag=aromialab-20,"Dulce y golden, uno de los mas reconocibles a nivel mundial por su frasco.",comercial
acqua-di-gio-edt,Acqua di Gio EDT,Giorgio Armani,masculino,acuatico aromatico,notas marinas;bergamota;neroli,jazmin;romero;salvia serena,cedro almizclado;musgo de roble,120.00,USD,medio,https://m.media-amazon.com/images/I/51DpfV3dkVL._SL1500_.jpg,https://www.amazon.com/dp/B0002JVJ2C?tag=aromialab-20,Acuatico clasico de los 90 que sigue vigente en verano.,comercial
angel-edp,Angel EDP,Mugler,femenino,oriental gourmand,mandarina;melocoton,miel;praline;flor de azahar,chocolate;patchouli;vainilla,120.00,USD,medio,https://m.media-amazon.com/images/I/61Wc29CbTBL._SL1000_.jpg,https://www.amazon.com/dp/B0B5B38LNY?tag=aromialab-20,Pionero del gourmand en los 90; algodon de azucar con pachuli terroso.,comercial
aventus,Aventus,Creed,masculino,afrutado amaderado,pina;bergamota;manzana negra,abedul;patchouli;jazmin,ambar gris;musgo de roble;vainilla,435.00,USD,lujo,https://m.media-amazon.com/images/I/71nY6hb7uuL._SL1500_.jpg,https://www.amazon.com/dp/B071CYS5ZZ?tag=aromialab-20,Ícono de estatus con salida afrutada ahumada muy imitada.,nicho
baccarat-rouge-540-edp,Baccarat Rouge 540 EDP,Maison Francis Kurkdjian,unisex,ambarado floral,azafran;jazmin,flor de almendro;ambar gris,cedro;abeto,325.00,USD,lujo,https://m.media-amazon.com/images/I/71xVLhLWrvL._SL1500_.jpg,https://www.amazon.com/dp/B074V34X4C?tag=aromialab-20,"El nicho mas viral en redes; mineral, dulce y unico.",nicho
black-opium-edp,Black Opium EDP,Yves Saint Laurent,femenino,oriental gourmand,pera;mandarina;pimienta rosa,cafe;jazmin;flor de naranjo,vainilla;patchouli;cedro,140.00,USD,premium,https://m.media-amazon.com/images/I/71w9icubQlL._SL1500_.jpg,https://www.amazon.com/dp/B07P9VPR96?tag=aromialab-20,Gourmand adictivo con acorde de cafe reconocible al instante.,comercial
bleu-de-chanel-edp,Bleu de Chanel EDP,Chanel,masculino,amaderado aromatico,pomelo;menta;pimienta rosa,jengibre;nuez moscada;jazmin,sandalo;cedro;labdano,145.00,USD,premium,https://m.media-amazon.com/images/I/41tz3PhoH9L._SL1000_.jpg,https://www.amazon.com/dp/B07P5NBN5L?tag=aromialab-20,Clasico moderno versatil para uso diario y oficina.,comercial
bombshell,Bombshell,Victoria's Secret,femenino,floral afrutado,notas de frutas del pasion;pina,peonia;magnolia,madera de cedro;almizcle,80.00,USD,económico,https://cdn.notinoimg.com/detail_main_mq/victorias-secret/0667524664424_01-o/bombshell___210810.jpg,https://www.amazon.com/s?k=Bombshell%20Victoria's%20Secret&tag=aromialab-20,"Frutal luminoso y accesible, ideal como primer perfume femenino.",comercial
chance-eau-tendre,Chance Eau Tendre,Chanel,femenino,floral afrutado,quinoa;toronja,peonia;jazmin,ambar blanco;almizcle,140.00,USD,premium,https://m.media-amazon.com/images/I/81ZOAYdt2pL._SL1500_.jpg,https://www.amazon.com/dp/B00F642WEW?tag=aromialab-20,"Suave y romantico, de los mas vendidos de la casa Chanel.",comercial
ck-one,CK One,Calvin Klein,unisex,citrico fresco,bergamota;limon;piña,te verde;jazmin;violeta,almizcle;ambar;sandalo,60.00,USD,económico,https://cdn.notinoimg.com/detail_main_hq/calvin-klein/088300607433_01-o/ck-one___220831.jpg,https://www.amazon.com/s?k=CK%20One%20Calvin%20Klein&tag=aromialab-20,"Unisex accesible y fresco, punto de entrada clasico a la perfumeria.",comercial
delina,Delina,Parfums de Marly,femenino,floral afrutado,ruibarbo;lichi,peonia;rosa turca;muguete,almizcle;vainilla,320.00,USD,lujo,https://m.media-amazon.com/images/I/419m37SbQ-L._SL1000_.jpg,https://www.amazon.com/dp/B06ZZV8BQD?tag=aromialab-20,Floral rosado cremoso con gran proyeccion; favorito de nicho femenino.,nicho
dior-addict-edp,Addict EDP,Dior,femenino,floral oriental,mandarina;flor de azahar,jazmin;orquidea;rosa,vainilla;sandalo;haba tonka,153.00,USD,premium,https://m.media-amazon.com/images/I/41joEbQYYIL._SL1023_.jpg,https://www.amazon.com/dp/B000195ELK?tag=aromialab-20,Floral oriental envolvente con vainilla de fondo; la version EDP mas calida de Addict.,comercial
dior-homme-cologne,Homme Cologne,Dior,masculino,aromatico fresco,bergamota;naranja,pimienta rosa;cedro,almizcle;maderas blancas,117.93,USD,medio,https://m.media-amazon.com/images/I/51P0LBWT9rL._SL1000_.jpg,https://www.amazon.com/dp/B00CB2JF9C?tag=aromialab-20,"Version ligera y citrica de Dior Homme, pensada para el dia a dia.",comercial
dior-homme-intense,Homme Intense,Dior,masculino,floral amaderado,lavanda,iris,vetiver;cuero;ambreta,101.14,USD,medio,https://m.media-amazon.com/images/I/61Edua7lz0L._SL1500_.jpg,https://www.amazon.com/dp/B0013FFX7Q?tag=aromialab-20,Iris polvoriento sobre cuero y vetiver; la cara mas intensa y elegante de Dior Homme.,comercial
dior-homme-parfum,Homme Parfum,Dior,masculino,amaderado especiado,iris,cacao,cuero;patchouli,189.00,USD,premium,https://m.media-amazon.com/images/I/71wWeQhyyTL._SL1500_.jpg,https://www.amazon.com/dp/B00NSMS3J2?tag=aromialab-20,"Iris y cacao sobre una base de cuero; la concentracion Parfum, mas oscura y densa.",comercial
eau-sauvage,Eau Sauvage,Dior,masculino,citrico fresco,bergamota;limon;albahaca,jazmin;romero,musgo de roble;vetiver;patchouli,109.99,USD,medio,https://m.media-amazon.com/images/I/61lKYZQC34L._SL1000_.jpg,https://www.amazon.com/dp/B0009OAGPG?tag=aromialab-20,"El citrico clasico de 1966 que definio el genero: distinto de 'Sauvage', mas antiguo y mas seco.",comercial
