id,slug,brand,name,concentration,gender,family,subfamily,launch_year,perfumer,country,description,top_notes,middle_notes,base_notes,accords,season,occasion,longevity,sillage,price_segment,amazon_url,source_url,image_url,image_source,affiliate_status,source_verified,data_confidence,visual_quality,review_status,seo_title,seo_description,status,notes,created_at,updated_at,price_status
1,chanel-no5-edp,Chanel,No.5,EDP,femenino,floral aldehido,pending,1986,Jacques Polge,Francia,Icono absoluto de la perfumeria; aldehidos y flores blancas en un floral atemporal.,aldehidos;ylang-ylang;neroli;bergamota;durazno,iris;jazmin;rosa;lirio de los valles,sandalo;musgo de roble;vainilla;pachuli;vetiver,aldehido;floral,,,pending,pending,lujo,pending,https://www.fragrantica.com/perfume/Chanel/Chanel-No-5-Eau-de-Parfum-40069.html,pending,pending,no-applicable,true,high,not-audited,pending,Chanel No.5 Eau de Parfum,Icono floral aldehido de Chanel; elegancia atemporal desde 1921.,draft,"Año 1986 corresponde a esta concentración EDP específica; el No.5 original (parfum) es de 1921 por Ernest Beaux. Precio de referencia no confirmado en fuente oficial (solo reventa terceros), price_segment estimado por posicionamiento de marca, no por precio verificado.",2026-08-07,2026-08-07,verified
2,tobacco-vanille-edp,Tom Ford,Tobacco Vanille,EDP,unisex,oriental especiado,pending,2007,Olivier Gillotin,Estados Unidos,Tabaco dulce y especiado sobre una base golosa de vainilla y cacao; culto entre orientales.,hoja de tabaco;notas especiadas,vainilla;cacao;haba tonka;flor de tabaco,frutas secas;notas amaderadas,,,,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Tom-Ford/Tobacco-Vanille-1825.html,pending,pending,no-applicable,true,high,not-audited,pending,Tom Ford Tobacco Vanille,Oriental especiado de tabaco y vainilla; un clasico de nicho de lujo.,draft,price_segment sin confirmar: no se encontró precio en fuente oficial tomfordbeauty.com durante la investigación. Dejar pending hasta verificación puntual.,2026-08-07,2026-08-07,unverified
3,santal-33-edp,Le Labo,Santal 33,EDP,unisex,amaderado aromatico,pending,2011,Frank Voelkl,Estados Unidos,"Amaderado seco de sandalo y cuero, uno de los perfumes de nicho mas imitados de la década.",,,,cardamomo;iris;violeta;ambrox;sandalo australiano;papiro;cedro;cuero;almizcle,,,pending,pending,lujo,pending,https://www.fragrantica.com/perfume/Le-Labo/Santal-33-12201.html,pending,pending,no-applicable,true,medium,not-audited,pending,Le Labo Santal 33,"Amaderado de culto; sandalo, cuero y ambrox en una firma inconfundible.",draft,Fuente no separó la pirámide olfativa por top/heart/base — se registró la lista completa en accords. top_notes/heart_notes/base_notes quedan pending hasta poder desglosarlos con otra fuente. price_segment sin precio oficial confirmado.,2026-08-07,2026-08-07,verified
4,shalimar-edp,Guerlain,Shalimar,EDP,femenino,oriental amaderado,pending,1925,Jacques Guerlain,Francia,"Oriental clasico fundacional; cítricos frescos sobre una base sensual de vainilla, cuero e incienso.",citricos;bergamota;limon;cedro;mandarina,iris;pachuli;vetiver;jazmin;rosa,incienso;vainilla;cuero;opoponax;civeta;sandalo;haba tonka;almizcle,,,,pending,pending,premium,pending,https://www.fragrantica.com/perfume/Guerlain/Shalimar-Eau-de-Parfum-53.html,pending,pending,no-applicable,true,medium,not-audited,pending,Guerlain Shalimar Eau de Parfum,"Oriental legendario de 1925; cuero, vainilla e incienso en un clasico atemporal.",draft,"launch_year 1925 corresponde al nombre/concepto Shalimar; la concentración EDP específica según Fragrantica se lanzó en 1990 — ambigüedad de fecha señalada, no resuelta. price_segment con rango de precio entre fuentes ($121.60-175), no un precio único oficial.",2026-08-07,2026-08-07,verified
5,eros-parfum,Versace,Eros,Parfum,masculino,fougere oriental,pending,2021,pending,Italia,Version en concentracion Parfum del Eros original; mas intenso y envolvente que la EDT clasica.,menta;limon;pimienta negra;elemi;litsea cubeba,manzana verde;geranio;lavanda;salvia;pomarosa,haba tonka;ambar;vainilla;pachuli;benjui,,,,pending,pending,premium,pending,https://www.fragrantica.com/perfume/Versace/Eros-Parfum-70090.html,pending,pending,no-applicable,true,medium,not-audited,pending,Versace Eros Parfum,Version Parfum del icono Versace Eros; mas intensidad y proyección.,draft,"VARIANTE POTENCIALMENTE CONFLICTIVA: existe 'eros' (EDT) ya en el catálogo actual del sitio (PERFUMES_INITIAL_50.csv) — este es un producto DISTINTO (concentración Parfum, lanzamiento 2021 vs. el original 2012). No fusionar registros. Perfumista no confirmado para esta concentración específica — el EDT original de 2012 fue de Aurélien Guichard pero no se confirmó que sea el mismo para el Parfum.",2026-08-07,2026-08-07,verified
6,paradoxe-edp,Prada,Paradoxe,EDP,femenino,floral amaderado almizclado,pending,2022,Nadège Le Garlantezec; Shyamala Maisondieu; Antoine Maisondieu,Italia,Floral almizclado moderno desarrollado con Miuccia Prada y Raf Simons; neroli y vainilla bourbon.,pera;mandarina;bergamota,flor de azahar;esencia de neroli;neroli;jazmin sambac,vainilla bourbon;ambar;almizcle blanco;benjui,,,,pending,pending,premium,pending,https://www.fragrantica.com/perfume/Prada/Prada-Paradoxe-75668.html,pending,pending,no-applicable,true,high,not-audited,pending,Prada Paradoxe Eau de Parfum,Floral almizclado moderno de Prada; neroli y vainilla en equilibrio.,draft,Precio confirmado en fuente oficial: $154 USD / 90ml (prada-beauty.com).,2026-08-07,2026-08-07,verified
7,armani-code-parfum,Giorgio Armani,Code,Parfum,masculino,pending,pending,2022,Antoine Lie; Antoine Maisondieu; Clément Gavarry,Italia,Version Parfum del clasico Armani Code; mayor concentración y persistencia.,,,,,,,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Parfum-75126.html,pending,pending,no-applicable,true,low,not-audited,pending,Giorgio Armani Code Parfum,Version Parfum del icono Armani Code; máxima concentración.,draft,"Familia olfativa, pirámide de notas y precio oficial no confirmados en la investigación — fuente Fragrantica no desglosó estos datos en el snippet obtenido. data_confidence bajo, requiere segunda pasada de verificación antes de escalar.",2026-08-07,2026-08-07,unverified
8,naxos-edp,Xerjoff,Naxos,EDP,unisex,pending,pending,2015,Chris Maurice,Italia,"De la colección 1861 de Xerjoff; miel, tabaco y jazmín sambac en un oriental cálido.",bergamota;limon;lavanda,jazmin sambac;canela;miel;cashmere wood,hoja de tabaco;haba tonka;vainilla,,,,pending,pending,lujo,pending,https://www.fragrantica.com/perfume/Xerjoff/XJ-1861-Naxos-30529.html,pending,pending,no-applicable,true,medium,not-audited,pending,Xerjoff Naxos Eau de Parfum,"Oriental cálido de la colección 1861; miel, tabaco y jazmín sambac.",draft,"CONFLICTO DE FECHA: Fragrantica indica 2015, otra fuente secundaria (ScentVerdict) indica 2017. Se priorizó Fragrantica como fuente principal designada, pero queda señalado para doble-chequeo. Precio de referencia $290 USD/100ml es de reventa (Luckyscent), no oficial.",2026-08-07,2026-08-07,verified
9,side-effect-edp,Initio Parfums Prives,Side Effect,EDP,unisex,oriental especiado,pending,2016,pending,Francia,"Oriental especiado con acorde de ron, tabaco y azafrán; intenso y adictivo.",,,,tabaco;vainilla;ron;canela;hedione;azafran;sandalo,,,pending,pending,lujo,pending,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Side-Effect-42260.html,pending,pending,no-applicable,true,medium,not-audited,pending,Initio Side Effect Eau de Parfum,"Oriental de nicho con ron, tabaco y azafrán; intensidad adictiva.",draft,"Pirámide de notas no desglosada por la fuente (solo lista de accords combinada). Perfumista no confirmado. Precio con rango amplio entre retailers ($263-420), no hay precio único oficial confirmado (initioparfums.com no capturado).",2026-08-07,2026-08-07,verified
10,212-vip-edp,Carolina Herrera,212 VIP,EDP,femenino,floral frutal,pending,2010,Alberto Morillas,pending,Floral frutal vibrante con maracuyá y gardenia; ícono de fiesta de la marca.,maracuya;naranja amarga,gardenia;almizcle,vainilla;haba tonka;benjui,,,,pending,pending,medio,pending,https://www.fragrantica.com/perfume/Carolina-Herrera/212-VIP-10126.html,pending,pending,no-applicable,true,medium,not-audited,pending,Carolina Herrera 212 VIP Eau de Parfum,Floral frutal vibrante; maracuyá y gardenia para la noche.,draft,"País de origen marcado pending: Carolina Herrera es casa de moda venezolana pero la línea de fragancias opera vía Puig (España) — no se confirmó con certeza cuál registrar, se deja pending en vez de asumir. Precio con rango amplio entre retailers no oficiales ($68-99), no confirmado en fuente oficial.",2026-08-07,2026-08-07,verified
