candidate_id,brand,name,source_url,source_kind,source_mode,gender,launch_year,top_notes,middle_notes,base_notes,accords,notes_mode,clear_fields,review_note
c036,Givenchy,Gentleman Réserve Privée,https://www.givenchybeauty.com/us/p/gentleman-reserve-privee-P011161.html,official,append,masculino,,Bergamot;Whisky Absolute,Chestnut;Orris;Benzoin,Cedarwood;Vetiver;Patchouli,,replace,family,"Official product page explicitly identifies the scent as masculine and publishes a complete top-heart-base pyramid; malformed harvested family text is discarded."
c125,Viktor&Rolf,Spicebomb Extreme,https://us.viktor-rolf.com/spicebomb/spicebomb-extreme/spicebomb-extreme-VKR_034.html,official,append,masculino,2015,Black Pepper Essence,Saffron Accord,Cistus Absolute,,replace,family,"Official product page identifies Spicebomb Extreme as a men's Eau de Parfum and explicitly labels top middle and base key notes; malformed harvested family prose is discarded."
c121,Carolina Herrera,Bad Boy Cobalt,https://www.fragrantica.com/perfume/Carolina-Herrera/Bad-Boy-Cobalt-Parfum-Electrique-71888.html,trusted_secondary,append,masculino,2022,Lavender;Pink Pepper,Plum;Geranium,Cedar;Vetiver;Truffle;Oak,,replace,family,"Curated trusted-secondary URL is product-specific and identifies Bad Boy Cobalt Parfum Electrique as a 2022 fragrance for men with an explicit pyramid; malformed harvested family text is discarded."
c037,Givenchy,Gentleman Society,https://www.givenchybeauty.com/us/p/gentleman-society-P000130.html,official,replace,masculino,,Sage;Cardamom,Narcissus;Vetiver,Cedarwood;Sandalwood;Vanilla,,replace,image_url;image_source;seo_title,"Exact standalone official product page replaces the Father's Day gift-set provenance; gift-set image and SEO title are cleared rather than allowed into an import candidate."
c059,Xerjoff,Erba Gold,https://www.fragrantica.com/perfume/Xerjoff/Erba-Gold-76683.html,trusted_secondary,append,unisex,2016,,,,,keep,,"Curated trusted-secondary URL is product-specific and explicitly identifies Xerjoff Erba Gold as a fragrance for women and men; clean official-source pyramid is preserved."
c099,Montale,Arabians Tonka,https://www.fragrantica.com/perfume/Montale/Arabians-Tonka-57384.html,trusted_secondary,append,unisex,2019,Saffron;Bergamot,Agarwood (Oud);Bulgarian Rose,Tonka Bean;Sugar Cane;Amber;White Musk;Oakmoss,,replace,,"Curated trusted-secondary URL is product-specific and explicitly identifies Arabians Tonka as a fragrance for women and men with a complete pyramid."
c063,Nishane,Hacivat,https://www.fragrantica.com/perfume/Nishane/Hacivat-44174.html,trusted_secondary,append,unisex,2017,Pineapple;Grapefruit;Bergamot,Cedar;Patchouli;Jasmine,Oakmoss;Woody Notes,,replace,,"Curated trusted-secondary URL is product-specific and explicitly identifies Hacivat as a fragrance for women and men with a complete pyramid."
c075,Juliette Has a Gun,Pear Inc.,https://www.juliettehasagun.com/en/products/pear-inc,official,append,,,Green Pear,Ambroxan,Musks,,replace,,"Official product page explicitly publishes the Green Pear / Ambroxan / Musks pyramid; existing verified unisex identity is preserved."
c092,Tauer Perfumes,Au Coeur du Désert,https://tauerperfumes.com/products/au-coeur-du-desert,official,append,,,Coriander;Cumin;Petitgrain;Citrus nuance,Cistus / Rock Rose;Jasmine,Patchouli;Cedarwood;Vetiver;Ambergris,,replace,,"Official product page explicitly publishes the complete top-heart-base pyramid and describes the extrait as unisex; existing verified gender is preserved."
c096,Orto Parisi,Terroni,https://www.fragrantica.es/perfume/Orto-Parisi/Terroni-45475.html,trusted_secondary,append,unisex,2017,Frambuesa,Abedul;Ámbar;Benjuí,Madera de gaiac;Vetiver;Cedro;Almizcle;Musgo;Pachulí;Haba tonka;Vainilla,,replace,,"Curated trusted-secondary URL is product-specific and explicitly identifies Terroni as a 2017 fragrance for hombres y mujeres; complete pyramid replaces the previously contaminated middle-note extraction."
