id,slug,field_remediated,previous_value,new_value,level_structure_confirmed,source_type,source_url,remediation_status,notes
3,santal-33-edp,family,pending,pending,no-pyramid,official+fragrantica,https://www.lelabofragrances.com/santal-33-147.html,factual-core-pending,Ni Le Labo (sitio oficial) ni Fragrantica publican una clasificación formal de familia olfativa para este producto. Se investigó razonablemente en ambas fuentes sin resultado verificable. Se mantiene pending.
3,santal-33-edp,top_notes;middle_notes;base_notes,pending;pending;pending,no-pyramid-published,no-pyramid,official,https://www.lelabofragrances.com/santal-33-147.html,preserved-as-flat-list,"Confirmado en sitio oficial: Le Labo NO separa por niveles top/middle/base. Publican una lista combinada: cardamomo, iris, violeta, sándalo australiano, cedro, notas especiadas, cuero, almizcle. Se preserva esta realidad — no se fuerza pirámide. 'ambrox' y 'papiro' del accord original no aparecen en el texto oficial vigente; no se confirman ni se descartan, se dejan tal cual estaban en accords sin agregarlos a notas verificadas nuevas."
7,armani-code-parfum,family,pending,Woody Aromatic,has-pyramid,fragrantica-secondary,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Parfum-75126.html,completed-secondary-source,No se pudo confirmar directamente en armani.com/armanibeauty.com (sitio oficial no expuso ficha de notas en el fetch). Family proviene de Fragrantica como fuente secundaria autorizada por el brief. subfamily sigue NO VERIFICADO — Fragrantica no publica un campo separado.
7,armani-code-parfum,top_notes;middle_notes;base_notes,pending;pending;pending,"Bergamot, Bergamot Leaf;Iris, Aldehydes, Clary Sage, Orris;Tonka Bean, Cedar",has-pyramid,fragrantica-secondary,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Parfum-75126.html,completed-secondary-source,Pirámide completa solo verificada en Fragrantica (fuente secundaria autorizada); no confirmada en sitio oficial de Armani en esta pasada. Queda documentado que la fuente primaria no pudo confirmarla.
8,naxos-edp,family;subfamily,pending;pending,"Aromatic, Spicy;pending",no-formal-subfamily-field,official,https://www.xerjoff.com/en-us/products/naxos-eau-de-parfum,completed,"Family confirmada en campo 'Scent Profile' del sitio oficial Xerjoff: 'Aromatic, Spicy'. subfamily NO VERIFICADO como campo formal separado — el sitio oficial no lo publica como campo distinto; Fragrantica ofrece una descripción más larga ('aromatic-spicy (sweet) oriental fougère') pero no es un campo formal, se deja pending para no inventar una subfamily de una descripción libre."
8,naxos-edp,"top_notes;middle_notes;base_notes (discrepancia, NO aplicada)",bergamota;limon;lavanda | jazmin sambac;canela;miel;cashmere wood | hoja de tabaco;haba tonka;vainilla,SIN CAMBIO — ver notes,has-pyramid,official,https://www.xerjoff.com/en-us/products/naxos-eau-de-parfum,flagged-not-applied,"El sitio oficial de Xerjoff (fetch directo en esta pasada) publica una versión ligeramente distinta: Top=Lemon, Bergamot, Lavender, Incense from Oman (agrega incienso de Omán); Heart=Jasmine Sambac, Honey, Cinnamon, Cashmere; Base=Vanilla, Tobacco Leaf, Tonka Bean. Regla 7 del brief prohíbe modificar campos fuera del rechazo salvo error objetivo — esta es una discrepancia entre fuentes, no un error objetivo confirmado, así que NO se sobrescribe el dato existente. Se deja como excepción para que Code decida si reconciliar."
9,side-effect-edp,family,oriental especiado,"Ambery, Spicy",no-pyramid,official,https://us.initioparfums.com/products/side-effect-hair-perfume,completed,"Etiqueta oficial de categoría en us.initioparfums.com: 'Ambery, Spicy'. Más específica y autoritativa que la clasificación genérica anterior 'oriental especiado' (que no tenía fuente oficial directa). Se recomienda actualizar a la etiqueta oficial."
9,side-effect-edp,top_notes;middle_notes;base_notes,pending;pending;pending,no-pyramid-published,no-pyramid,official,https://us.initioparfums.com/products/side-effect-hair-perfume,preserved-as-flat-list,"Confirmado en sitio oficial (sección 'MAIN NOTES'): Cinnamon, Rum, Tobacco, Saffron, Sandalwood, Hedione — sin división top/heart/base. Coincide con el accord combinado ya registrado. IMPORTANTE: se descartó explícitamente una pirámide top/middle/base encontrada en blogs no oficiales de terceros (reconstrucción no verificada) — no se usó, siguiendo la regla de no inventar/inferir pirámide."
11,explorer-edp,family;subfamily,pending;pending,Woody Aromatic;pending,has-pyramid,fragrantica-secondary+official-description,https://www.montblanc.com/en-us/fragrances/collection/explorer,partial,"Family 'Woody Aromatic' inferida de descripción textual del sitio oficial ('deeply aromatic fragrance') + confirmación en Fragrantica; montblanc.com no usa esa etiqueta formal exacta en la página leída. subfamily NO VERIFICADO en ninguna fuente como campo formal, se mantiene pending."
11,explorer-edp,top_notes;middle_notes;base_notes (confirmado sin cambio),bergamota OrPur;salvia francesa;pimienta rosa | vetiver OrPur;nota de piel | pachuli;cacao;ambrofix;akigalawood,SIN CAMBIO — confirmado,has-pyramid,official,https://www.montblanc.com/en-us/fragrances/collection/explorer,confirmed-no-change,"Confirmado 100% en sitio oficial (sección FAQ del producto), coincide exactamente con lo ya registrado. Fragrantica lista una versión ligeramente distinta (orden y algunos términos), pero se prioriza el oficial según regla 1 del brief — no se aplica el dato de Fragrantica."
