candidate_id,brand,name,concentration,launch_year,stratum,difficulty,priority,official_domain
c131,Chanel,Bleu de Chanel,,,mainstream,normal,90,chanel.com
c132,Dior,Sauvage,,,mainstream,normal,90,dior.com
c133,Yves Saint Laurent,La Nuit de L'Homme,,,mainstream,normal,90,yslbeautyus.com
c134,Giorgio Armani,Acqua di Giò,,,mainstream,normal,90,giorgioarmanibeauty-usa.com
c135,Prada,Luna Rossa,,,mainstream,normal,90,prada-beauty.com
c136,Valentino,Uomo Born in Roma,,,mainstream,normal,90,valentino-beauty.us
c137,Jean Paul Gaultier,Le Male,,,mainstream,normal,90,jeanpaulgaultier.com
c138,Rabanne,1 Million,,,mainstream,normal,90,rabanne.com
c139,Versace,Versace Pour Homme,,,mainstream,normal,90,versace.com
c140,Dolce & Gabbana,The One for Men,,,mainstream,normal,90,dolcegabbana.com
c141,Burberry,Burberry Hero Eau de Toilette,,,mainstream,normal,90,burberry.com
c142,Givenchy,Gentleman Eau de Toilette Intense,,,mainstream,normal,90,givenchybeauty.com
c143,Gucci,Guilty Pour Homme Eau de Toilette,,,mainstream,normal,90,gucci.com
c144,Tom Ford,Oud Wood,,,mainstream,normal,90,tomfordbeauty.com
c145,Maison Francis Kurkdjian,Baccarat Rouge 540,,,niche,normal,90,franciskurkdjian.com
c146,Parfums de Marly,Layton,,,niche,normal,90,parfums-de-marly.com
c147,Creed,Aventus,,,niche,normal,90,creedboutique.com
c148,Amouage,Interlude Man,,,niche,normal,90,amouage.com
c149,Xerjoff,Naxos,,,niche,normal,90,xerjoff.com
c150,Initio Parfums Privés,Side Effect,,,niche,normal,90,initioparfums.com
c151,Nishane,Ani X,,,niche,normal,90,nishane.com
c152,By Kilian,Apple Brandy on the Rocks,,,niche,normal,90,bykilian.com
c153,Le Labo,Santal 33,,,nonstandard_notes,hard,90,lelabofragrances.com
c154,Diptyque,Tam Dao Eau de Toilette,,,niche,normal,90,diptyqueparis.com
c155,Frederic Malle,Portrait of a Lady,,,niche,normal,90,fredericmalle.com
c156,Roja Parfums,Elysium Parfum Cologne,,,niche,normal,90,rojaparfums.com
c157,Ormonde Jayne,Ormonde Man,,,niche,normal,90,ormondejayne.com
c158,Tauer Perfumes,Lonestar Memories,,,hard_case,hard,90,tauerperfumes.com
c159,Nasomatto,Pardon,,,hard_case,hard,90,nasomatto.com
c160,Orto Parisi,Boccanera,,,hard_case,hard,90,ortoparisi.com
c161,Mancera,Cedrat Boise,,,niche,normal,90,manceraparfums.com
c162,Montale,Ristretto Intense Café,,,niche,normal,90,montaleparfums.com
c163,Essential Parfums,Bois Impérial Extrait,,,niche,normal,90,essentialparfums.com
c164,BDK Parfums,Rouge Smoking,,,niche,normal,90,bdkparfums.com
c165,Goldfield & Banks,Ingenious Ginger,,,niche,normal,90,goldfieldandbanks.com
c166,Maison Crivelli,Papyrus Moléculaire,,,hard_case,hard,90,maisoncrivelli.com
c167,Marc-Antoine Barrois,Ganymede Extrait,,,niche,normal,90,marcantoinebarrois.com
c168,Liquides Imaginaires,Dom Rosa Millésimé,,,niche,normal,90,liquidesimaginaires.com
c169,Memo Paris,Italian Leather,,,niche,normal,90,memoparis.com
c170,Penhaligon's,Halfeti Leather,,,niche,normal,90,penhaligons.com
c171,Acqua di Parma,Colonia,,,mainstream,normal,90,acquadiparma.com
c172,Bvlgari,Bvlgari Man Wood Essence,,,mainstream,normal,90,bulgari.com
c173,Carolina Herrera,Bad Boy,,,mainstream,normal,90,carolinaherrera.com
c174,Azzaro,Wanted,,,mainstream,normal,90,azzaro.com
c175,Viktor&Rolf,Spicebomb,,,mainstream,normal,90,viktor-rolf.com
c176,Mugler,A*Men Fantasm,,,mainstream,normal,90,mugler.com
c177,Narciso Rodriguez,For Her Eau de Toilette,,,mainstream,normal,90,narcisorodriguezparfums.com
c178,Jo Malone London,Wood Sage & Sea Salt,,,mainstream,normal,90,jomalone.com
c179,Byredo,Bal d'Afrique,,,niche,normal,90,byredo.com
c180,Maison Margiela,Replica Jazz Club,,,niche,normal,90,maisonmargiela-fragrances.us
c181,Aesop,Marrakech Intense,,,niche,normal,90,aesop.com
c182,Escentric Molecules,Molecule 01,,,nonstandard_notes,hard,90,escentric.com
c183,Juliette Has a Gun,Not a Perfume Superdose,,,niche,normal,90,juliettehasagun.com
c184,Comme des Garçons,2,,,nonstandard_notes,hard,90,commedesgarconsparfums.com
c185,Guerlain,L'Homme Idéal,,,mainstream,normal,90,guerlain.com
c186,Hermès,Terre d'Hermès,,,mainstream,normal,90,hermes.com
c187,Louis Vuitton,Imagination,,,mainstream,normal,90,us.louisvuitton.com
c188,Ex Nihilo,Blue Talisman,,,niche,normal,90,ex-nihilo-paris.com
c189,Matiere Premiere,Radical Rose,,,niche,normal,90,matiere-premiere.com
c190,Fragrance Du Bois,Oud Bleu Intense,,,niche,normal,90,fragrancedubois.com
c191,Atelier des Ors,Lune Féline,,,niche,normal,90,atelierdesors.com
c192,Etat Libre d'Orange,You or Someone Like You,,,hard_case,hard,90,etatlibredorange.com
c193,Zoologist,Bee,,,nonstandard_notes,hard,90,zoologistperfumes.com
c194,Imaginary Authors,Memoirs of a Trespasser,,,nonstandard_notes,hard,90,imaginaryauthors.com
c195,Serge Lutens,Chergui,,,niche,normal,90,sergelutens.com
c196,Kayali,Vanilla 28,,,niche,normal,90,kayali.com
c197,Lattafa,Khamrah,,,niche,normal,90,lattafa.com
c198,Une Nuit Nomade,Sugar Leather,,,niche,normal,90,unenuitnomade.com
c199,Chanel,Bleu de Chanel Parfum,,,mainstream,normal,90,chanel.com
c200,Dior,Sauvage Eau de Parfum,,,mainstream,normal,90,dior.com
c201,Yves Saint Laurent,L'Homme,,,mainstream,normal,90,yslbeautyus.com
c202,Giorgio Armani,Acqua di Giò Eau de Parfum,,,mainstream,normal,90,giorgioarmanibeauty-usa.com
c203,Prada,Luna Rossa Ocean,,,mainstream,normal,90,prada-beauty.com
c204,Valentino,Uomo Born in Roma Green Stravaganza,,,mainstream,normal,90,valentino-beauty.us
c205,Jean Paul Gaultier,Le Male Le Parfum,,,mainstream,normal,90,jeanpaulgaultier.com
c206,Rabanne,1 Million Parfum,,,mainstream,normal,90,rabanne.com
c207,Versace,Eros,,,mainstream,normal,90,versace.com
c208,Dolce & Gabbana,The One for Men Eau de Parfum,,,mainstream,normal,90,dolcegabbana.com
c209,Burberry,Burberry Hero Parfum Intense,,,mainstream,normal,90,burberry.com
c210,Givenchy,Gentleman Eau de Parfum Boisée,,,mainstream,normal,90,givenchybeauty.com
c211,Gucci,Guilty Pour Homme Parfum,,,mainstream,normal,90,gucci.com
c212,Tom Ford,Oud Wood Parfum,,,mainstream,normal,90,tomfordbeauty.com
c213,Maison Francis Kurkdjian,Baccarat Rouge 540 Extrait de Parfum,,,niche,normal,90,franciskurkdjian.com
c214,Parfums de Marly,Layton Exclusif,,,niche,normal,90,parfums-de-marly.com
c215,Creed,Absolu Aventus,,,niche,normal,90,creedboutique.com
c216,Amouage,Interlude Black Iris,,,niche,normal,90,amouage.com
c217,Xerjoff,Erba Pura,,,niche,normal,90,xerjoff.com
c218,Initio Parfums Privés,Oud for Greatness,,,niche,normal,90,initioparfums.com
c219,Nishane,Hacivat X,,,niche,normal,90,nishane.com
c220,By Kilian,Roses on Ice,,,niche,normal,90,bykilian.com
c221,Le Labo,Rose 31,,,nonstandard_notes,hard,90,lelabofragrances.com
c222,Diptyque,Tam Dao Eau de Parfum,,,niche,normal,90,diptyqueparis.com
c223,Frederic Malle,Carnal Flower,,,niche,normal,90,fredericmalle.com
c224,Roja Parfums,Elysium Pour Homme Parfum,,,niche,normal,90,rojaparfums.com
c225,Ormonde Jayne,Ormonde Woman,,,niche,normal,90,ormondejayne.com
c226,Tauer Perfumes,Incense Extreme,,,hard_case,hard,90,tauerperfumes.com
c227,Nasomatto,Duro,,,hard_case,hard,90,nasomatto.com
c228,Orto Parisi,Bergamask,,,hard_case,hard,90,ortoparisi.com
c229,Mancera,Instant Crush,,,niche,normal,90,manceraparfums.com
c230,Montale,Chocolate Greedy,,,niche,normal,90,montaleparfums.com
