id,slug,brand,name,concentration,gender,family,subfamily,launch_year,perfumer,country,description,top_notes,middle_notes,base_notes,accords,notes_status,season,occasion,longevity,sillage,price_segment,price_status,amazon_url,source_url,image_url,image_source,affiliate_status,source_verified,data_confidence,visual_quality,review_status,seo_title,seo_description,status,notes,created_at,updated_at,catalog_relation,quality_status
c036,givenchy-gentleman-reserve-privee-edp,Givenchy,Gentleman Réserve Privée,EDP,masculino,pending,pending,pending,pending,pending,pending,Bergamot;Whisky Absolute,Chestnut;Orris;Benzoin,Cedarwood;Vetiver;Patchouli,pending,published,pending,pending,pending,pending,pending,unverified,https://www.amazon.com/s?k=Givenchy+Gentleman+R%C3%A9serve+Priv%C3%A9e+EDP+perfume,https://www.givenchybeauty.com/ca/en/p/gentleman-reserve-privee-F10100159.html;https://www.givenchybeauty.com/us/p/gentleman-reserve-privee-P011161.html,pending,pending,pending,true,high,not-audited,pending,pending,pending,draft,Expansion Automation v2; quality_reason=catalog_confidence_gate_pass;publication_enrichment_pending; confidence=0.963; publication_complete=false; optional publication enrichment may remain pending; provenance preserved; no production write.,2026-08-18,2026-08-18,NEW,AUTO_READY
c125,viktor-rolf-spicebomb-extreme-edp,Viktor&Rolf,Spicebomb Extreme,EDP,masculino,pending,pending,2015,pending,pending,pending,Black Pepper Essence,Saffron Accord,Cistus Absolute,pending,published,pending,pending,pending,pending,pending,unverified,https://www.amazon.com/s?k=Viktor%26Rolf+Spicebomb+Extreme+EDP+perfume,https://us.viktor-rolf.com/spicebomb/spicebomb-extreme/spicebomb-extreme-VKR_034.html,pending,pending,pending,true,high,not-audited,pending,pending,pending,draft,Expansion Automation v2; quality_reason=catalog_confidence_gate_pass;publication_enrichment_pending; confidence=0.963; publication_complete=false; optional publication enrichment may remain pending; provenance preserved; no production write.,2026-08-18,2026-08-18,NEW,AUTO_READY
c121,carolina-herrera-bad-boy-cobalt-edp,Carolina Herrera,Bad Boy Cobalt,EDP,masculino,pending,pending,2022,pending,pending,Bad Boy Cobalt Eau de Parfum Électrique reinterprets the iconic lightning bolt in graduated cobalt blue – elegantly expressing the duality of modern masculinity while paying tribute to the strength of friendship,Lavender;Pink Pepper,Plum;Geranium,Cedar;Vetiver;Truffle;Oak,pending,published,pending,pending,pending,pending,pending,unverified,https://www.amazon.com/s?k=Carolina+Herrera+Bad+Boy+Cobalt+EDP+perfume,https://www.carolinaherrera.com/us/en/editorial/fragrance-bad-boy-cobalt;https://www.fragrantica.com/perfume/Carolina-Herrera/Bad-Boy-Cobalt-Parfum-Electrique-71888.html,pending,pending,pending,true,high,not-audited,pending,Bad Boy Cobalt Eau de Parfum Électrique | Carolina Herrera,Bad Boy Cobalt Eau de Parfum Électrique reinterprets the iconic lightning bolt in graduated cobalt blue – elegantly expressing the duality of modern masculinity while paying tribut,draft,Expansion Automation v2; quality_reason=catalog_confidence_gate_pass;publication_enrichment_pending; confidence=0.963; publication_complete=false; optional publication enrichment may remain pending; provenance preserved; no production write.,2026-08-18,2026-08-18,NEW,AUTO_READY
c037,givenchy-gentleman-society-edp,Givenchy,Gentleman Society,EDP,masculino,pending,pending,pending,pending,pending,pending,Sage;Cardamom,Narcissus;Vetiver,Cedarwood;Sandalwood;Vanilla,pending,published,pending,pending,pending,pending,pending,unverified,https://www.amazon.com/s?k=Givenchy+Gentleman+Society+EDP+perfume,https://www.givenchybeauty.com/us/p/gentleman-society-P000130.html,pending,pending,pending,true,high,not-audited,pending,pending,pending,draft,Expansion Automation v2; quality_reason=catalog_confidence_gate_pass;publication_enrichment_pending; confidence=0.963; publication_complete=false; optional publication enrichment may remain pending; provenance preserved; no production write.,2026-08-18,2026-08-18,NEW,AUTO_READY
c059,xerjoff-erba-gold-edp,Xerjoff,Erba Gold,EDP,unisex,pending,pending,2016,pending,pending,"Xerjoff Erba Gold is a radiant Vibe collection fragrance, featuring Amalfi lemon, ginger and Madagascan vanilla. Discover a golden expression of citrus luxury",Amalfi Lemon;Brazilian Orange;Calabrian Bergamot;Ginger,Cloves;Green Apple;Guatemalan Cardamom;Melon;Pear,Amber;Madagascar Vanilla;Musk;Woody Notes,pending,published,pending,pending,pending,pending,pending,unverified,https://www.amazon.com/s?k=Xerjoff+Erba+Gold+EDP+perfume,https://www.xerjoff.com/en-us/products/erba-gold-eau-de-parfum;https://www.fragrantica.com/perfume/Xerjoff/Erba-Gold-76683.html,http://www.xerjoff.com/cdn/shop/files/listing-xerjoff-erbagold-eau-de-parfum-50ml.png?v=1745840891,https://www.xerjoff.com/en-us/products/erba-gold-eau-de-parfum,pending,true,high,medium,pending,Erba Gold: citrus elegance with a golden heart | Xerjoff,"Xerjoff Erba Gold is a radiant Vibe collection fragrance, featuring Amalfi lemon, ginger and Madagascan vanilla. Discover a golden expression of citrus luxury",draft,Expansion Automation v2; quality_reason=confidence_gate_pass; confidence=0.963; publication_complete=true; optional publication enrichment may remain pending; provenance preserved; no production write.,2026-08-18,2026-08-18,NEW,AUTO_READY
c099,montale-arabians-tonka-edp,Montale,Arabians Tonka,EDP,unisex,pending,pending,2019,pending,pending,Arabians Tonka by Montale: oud fragrance from the official Montale collection. Deep and smoky. Shop the original ✨,Saffron;Bergamot,Agarwood (Oud);Bulgarian Rose,Tonka Bean;Sugar Cane;Amber;White Musk;Oakmoss,pending,published,pending,pending,pending,pending,pending,unverified,https://www.amazon.com/s?k=Montale+Arabians+Tonka+EDP+perfume,https://montaleparfums.com/en/oriental/282-arabians-tonka.html;https://www.fragrantica.com/perfume/Montale/Arabians-Tonka-57384.html,https://montaleparfums.com/1081-product_square/arabians-tonka.jpg,https://montaleparfums.com/en/oriental/282-arabians-tonka.html,pending,true,high,medium,pending,Arabians Tonka : Eau de Parfum | Montale,Arabians Tonka by Montale: oud fragrance from the official Montale collection. Deep and smoky. Shop the original ✨,draft,Expansion Automation v2; quality_reason=confidence_gate_pass; confidence=0.963; publication_complete=true; optional publication enrichment may remain pending; provenance preserved; no production write.,2026-08-18,2026-08-18,NEW,AUTO_READY
c063,nishane-hacivat-extrait,Nishane,Hacivat,Extrait,unisex,pending,pending,2017,pending,pending,pending,Bergamot;Pineapple;Grapefruit,Jasmine;Patchouli;Cedarwood,Clearwood;Oakmoss;Dry Timberwood,pending,published,pending,pending,pending,pending,pending,unverified,https://www.amazon.com/s?k=Nishane+Hacivat+Extrait+perfume,https://nishane.com/product/hacivat;https://www.fragrantica.com/perfume/Nishane/Hacivat-44174.html,pending,pending,pending,true,high,not-audited,pending,pending,pending,draft,Expansion Automation v2; quality_reason=catalog_confidence_gate_pass;publication_enrichment_pending; confidence=0.963; publication_complete=false; optional publication enrichment may remain pending; provenance preserved; no production write.,2026-08-18,2026-08-18,NEW,AUTO_READY
c075,juliette-has-a-gun-pear-inc-edp,Juliette Has a Gun,Pear Inc.,EDP,unisex,pending,pending,pending,pending,pending,"Composed around green pear, musk and Ambroxan, Pear Inc. pays tribute to this irresistible fruit that tastes of sunshine…",Green Pear,Ambroxan,Musks,pending,published,pending,pending,pending,pending,pending,unverified,https://www.amazon.com/s?k=Juliette+Has+a+Gun+Pear+Inc.+EDP+perfume,https://www.juliettehasagun.com/en/products/pear-inc,http://www.juliettehasagun.com/cdn/shop/files/01_Pear_Inc_Packshot_100ml-1_1200x1200.jpg?v=1729169115,https://www.juliettehasagun.com/en/products/pear-inc,pending,true,high,medium,pending,Pear Inc,"Composed around green pear, musk and Ambroxan, Pear Inc. pays tribute to this irresistible fruit that tastes of sunshine…",draft,Expansion Automation v2; quality_reason=confidence_gate_pass; confidence=0.963; publication_complete=true; optional publication enrichment may remain pending; provenance preserved; no production write.,2026-08-18,2026-08-18,NEW,AUTO_READY
c092,tauer-perfumes-au-coeur-du-desert-extrait,Tauer Perfumes,Au Coeur du Désert,Extrait,unisex,pending,pending,pending,pending,pending,"AU COEUR DU DÉSERT is the metamorphose of L’air du désert marocain into a luxurious extrait de parfum. Warm woody amber notes. Rich, unisex, classical, LDDM",Coriander;Cumin;Petitgrain;Citrus nuance,Cistus / Rock Rose;Jasmine,Patchouli;Cedarwood;Vetiver;Ambergris,pending,published,pending,pending,pending,pending,pending,unverified,https://www.amazon.com/s?k=Tauer+Perfumes+Au+Coeur+du+D%C3%A9sert+Extrait+perfume,https://tauerperfumes.com/products/au-coeur-du-desert,http://tauerperfumes.com/cdn/shop/files/AuCoeurDuDesertJPG.jpg?v=1745843085,https://tauerperfumes.com/products/au-coeur-du-desert,pending,true,high,medium,pending,AU COEUR DU DÉSERT,"AU COEUR DU DÉSERT is the metamorphose of L’air du désert marocain into a luxurious extrait de parfum. Warm woody amber notes. Rich, unisex, classical, LDDM",draft,Expansion Automation v2; quality_reason=confidence_gate_pass; confidence=0.963; publication_complete=true; optional publication enrichment may remain pending; provenance preserved; no production write.,2026-08-18,2026-08-18,NEW,AUTO_READY
c096,orto-parisi-terroni-parfum,Orto Parisi,Terroni,Parfum,unisex,pending,pending,2017,pending,pending,Orto Parisi Terroni Parfum 50 ml/1.7 fl.oz. There is something fulfilling about putting your hands in the soil – the sense of belonging to earth,Frambuesa,Abedul;Ámbar;Benjuí,Madera de gaiac;Vetiver;Cedro;Almizcle;Musgo;Pachulí;Haba tonka;Vainilla,pending,published,pending,pending,pending,pending,pending,unverified,https://www.amazon.com/s?k=Orto+Parisi+Terroni+Parfum+perfume,https://ortoparisi.com/products/terroni;https://www.fragrantica.es/perfume/Orto-Parisi/Terroni-45475.html,http://ortoparisi.com/cdn/shop/files/OrtoParisi-Terroni-1080x1350.gif?v=1709045343,https://ortoparisi.com/products/terroni,pending,true,high,medium,pending,TERRONI,Orto Parisi Terroni Parfum 50 ml/1.7 fl.oz. There is something fulfilling about putting your hands in the soil – the sense of belonging to earth,draft,Expansion Automation v2; quality_reason=confidence_gate_pass; confidence=0.963; publication_complete=true; optional publication enrichment may remain pending; provenance preserved; no production write.,2026-08-18,2026-08-18,NEW,AUTO_READY
