id,slug,brand,name,concentration,gender,family,subfamily,launch_year,perfumer,country,description,top_notes,middle_notes,base_notes,accords,season,occasion,longevity,sillage,price_segment,amazon_url,source_url,image_url,image_source,affiliate_status,source_verified,data_confidence,visual_quality,review_status,seo_title,seo_description,status,notes,created_at,updated_at
1,opium-edp,Yves Saint Laurent,Opium,EDP,femenino,oriental especiado,pending,2009,pending,Francia,Oriental especiado icónico; reformulación EDP 2009 del clásico original de 1977.,mandarina;bergamota;lirio de los valles,mirra;jazmin,opoponax;ambar;pachuli;vainilla,pending,pending,pending,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Opium-Eau-de-Parfum-2009-7399.html,pending,pending,no-applicable,true,medium,not-audited,pending,Yves Saint Laurent Opium,Oriental especiado icónico; reformulación EDP 2009 del clásico original de 1977.,draft,"launch_year 2009 corresponde a esta reformulación EDP específica; el Opium original (parfum) es de 1977 con perfumistas distintos (Jean Amic, Jean-Louis Sieuzac, Raymond Chaillan) no confirmados para esta versión. price_segment sin fuente confiable, solo reventa dispersa.",2026-08-07,2026-08-07
2,poison-edt,Dior,Poison,EDT,femenino,oriental floral,pending,1985,Édouard Fléchier; Maurice Roger,Francia,Oriental floral intenso y icónico de los 80; una de las fragancias más audaces de Dior.,ciruela;bayas silvestres;cilantro;anis;palo de rosa brasileño,tuberosa;incienso;miel blanca;canela;opoponax;clavel;jazmin;azahar;rosa,vainilla;ambar;sandalo;heliotropo;almizcle;vetiver;cedro de virginia,pending,pending,pending,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Dior/Poison-218.html ; https://www.dior.com/en_us/beauty/products/poison-Y0063201.html,pending,pending,no-applicable,true,high,not-audited,pending,Dior Poison,Oriental floral intenso y icónico de los 80; una de las fragancias más audaces de Dior.,draft,"REEMPLAZO DE CONCENTRACIÓN: el encargo original pedía 'Poison Eau de Parfum', concentración que NO EXISTE como SKU real — Dior solo vende Poison en EDT, Parfum (extrait), Esprit de Parfum y EDC. Se sustituyó por Poison EDT, confirmada en dior.com. Verificado explícitamente antes de reportar datos, sin asumir que EDP existiera.",2026-08-07,2026-08-07
3,alien-edp,Thierry Mugler,Alien,EDP,femenino,floral amaderado ambarado,pending,2005,Dominique Ropion; Laurent Bruyère,Francia,Floral amaderado con firma de jazmín sambac; frasco icónico en forma de piedra preciosa.,jazmin sambac de la india,madera de cashmeran,ambar blanco,pending,pending,pending,pending,pending,pending,pending,https://www.mugler.com/fragrance/womens-fragrances/alien/alien-eau-de-parfum/M010401002.html ; https://www.fragrantica.com/perfume/Mugler/Alien-707.html,pending,pending,no-applicable,true,medium,not-audited,pending,Thierry Mugler Alien,Floral amaderado con firma de jazmín sambac; frasco icónico en forma de piedra preciosa.,draft,"El sitio oficial de Mugler no publica pirámide top/middle/base tradicional — describe 3 elementos narrativos (nota solar, corazón, fondo) que se mapearon 1:1 a top/middle/base por ser exactamente 3 elementos con roles equivalentes. Fragrantica no aportó pirámide adicional en esta búsqueda. price_segment sin fuente oficial confiable.",2026-08-07,2026-08-07
4,linterdit-edp,Givenchy,L'Interdit,EDP,femenino,floral,pending,2018,Dominique Ropion; Anne Flipo; Fanny Bal,Francia,Floral blanco con contraste de tuberosa y pera; reinterpretación moderna del icónico L'Interdit.,bergamota;pera;cereza acida,tuberosa;azahar;jazmin sambac,pachuli;vetiver;ambroxan;caramelo;vainilla,pending,pending,pending,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Givenchy/L-Interdit-Eau-de-Parfum-51488.html ; https://www.givenchybeauty.com/us/p/l-interdit-F10100099.html,pending,pending,no-applicable,true,medium,not-audited,pending,Givenchy L'Interdit,Floral blanco con contraste de tuberosa y pera; reinterpretación moderna del icónico L'Interdit.,draft,Family no confirmada con clasificación formal explícita en ninguna fuente consultada — descripción basada en composición de notas. price_segment sin fuente confiable.,2026-08-07,2026-08-07
5,for-her-edp,Narciso Rodriguez,For Her,EDP,femenino,floral amaderado almizclado,pending,2006,Christine Nagel; Francis Kurkdjian,Estados Unidos,Floral almizclado minimalista; firma olfativa distintiva de la marca del diseñador.,rosa;durazno,almizcle;ambar,pachuli;sandalo,pending,pending,pending,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Narciso-Rodriguez/Narciso-Rodriguez-for-Her-Eau-de-Parfum-14319.html,pending,pending,no-applicable,true,medium,not-audited,pending,Narciso Rodriguez For Her,Floral almizclado minimalista; firma olfativa distintiva de la marca del diseñador.,draft,Datos de Fragrantica (fuente secundaria) — no se accedió a sitio oficial narcisorodriguezparfums.com en esta investigación. price_segment sin fuente confiable.,2026-08-07,2026-08-07
6,leau-dissey-edt,Issey Miyake,L'Eau d'Issey,EDT,femenino,floral acuatico,pending,1992,Jacques Cavallier,Japon,Acuático floral fundacional de los 90; pionero de la categoría acuática en perfumería femenina.,loto;melon;fresia;agua de rosas;rosa;calone;ciclamen,lirio de los valles;azucena;peonia acuatica;clavel,almizcle;tuberosa;maderas exoticas;osmanthus;cedro;sandalo;ambar,pending,pending,pending,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Issey-Miyake/L-eau-d-Issey-720.html,pending,pending,no-applicable,true,medium,not-audited,pending,Issey Miyake L'Eau d'Issey,Acuático floral fundacional de los 90; pionero de la categoría acuática en perfumería femenina.,draft,"Datos de Fragrantica (fuente secundaria) — no se accedió a sitio oficial issey-miyake-parfums.com en esta investigación. Country registrado como Japón (marca de diseño); la composición se produce vía Beauté Prestige International (Francia) — ambigüedad similar a la de Carolina Herrera en Batch 001, se prioriza el país de la casa de diseño. price_segment sin fuente confiable.",2026-08-07,2026-08-07
7,eternity-edp,Calvin Klein,Eternity,EDP,femenino,floral,pending,1988,Sophia Grojsman,Estados Unidos,Floral clásico de los 80; símbolo de romanticismo atemporal de la marca.,notas verdes;fresia;salvia;citricos;mandarina,clavel;azucena;lirio de los valles;narciso;caléndula;violeta;rosa;jazmin,almizcle;heliotropo;sandalo;ambar;pachuli,pending,pending,pending,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-257.html,pending,pending,no-applicable,true,medium,not-audited,pending,Calvin Klein Eternity,Floral clásico de los 80; símbolo de romanticismo atemporal de la marca.,draft,"Existencia de SKU EDP confirmada en retailers, no se accedió a sitio oficial ck.com en esta búsqueda para confirmar ficha de producto directa. price_segment sin fuente confiable.",2026-08-07,2026-08-07
8,burberry-her-edp,Burberry,Her,EDP,femenino,floral frutal,pending,2018,Francis Kurkdjian,Reino Unido,Floral frutal con acorde de bayas rojas; campaña icónica de calle londinense.,fresa;frambuesa;mora;cereza acida;grosella negra;mandarina;limon,violeta;jazmin,almizcle;vainilla;cashmeran;musgo de roble;notas amaderadas;ambar;pachuli,pending,pending,pending,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Burberry/Burberry-Her-51694.html ; https://us.burberry.com/her-eau-de-parfum-50ml-p40804581,pending,pending,no-applicable,true,high,not-audited,pending,Burberry Her,Floral frutal con acorde de bayas rojas; campaña icónica de calle londinense.,draft,Concentración y existencia de SKU confirmadas en sitio oficial burberry.com; precio no capturado en el fetch. Family sin clasificación formal confirmada.,2026-08-07,2026-08-07
9,daisy-edt,Marc Jacobs,Daisy,EDT,femenino,pending,pending,2007,Alberto Morillas,Estados Unidos,"Fresco floral juvenil; frasco icónico con tapa de margaritas, ícono de la marca.",hoja de violeta;pomelo;fresa silvestre,violeta;gardenia;jazmin,almizcle blanco;notas amaderadas;vainilla,pending,pending,pending,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Marc-Jacobs/Daisy-1361.html ; https://www.marcjacobs.com/us-en/daisy-eau-de-toilette-100-ml/31655513034.html,pending,pending,no-applicable,true,medium,not-audited,pending,Marc Jacobs Daisy,"Fresco floral juvenil; frasco icónico con tapa de margaritas, ícono de la marca.",draft,Family no confirmada con clasificación formal en ninguna fuente. Variación menor de traducción entre fuentes en 'fresa'/'fresa silvestre' — se usó la más específica. price_segment sin fuente confiable.,2026-08-07,2026-08-07
10,spicebomb-edt,Viktor & Rolf,Spicebomb,EDT,masculino,amaderado especiado gourmand,pending,2012,Olivier Polge,Paises Bajos,"Amaderado especiado explosivo; frasco en forma de granada, ícono masculino de la marca.",pimienta rosa;elemi;bergamota;pomelo,canela;azafran;paprika,cuero;tabaco;vetiver,pending,pending,pending,pending,pending,pending,pending,https://us.viktor-rolf.com/fragrance/spicebomb-eau-de-toilette-VKR_030.html ; https://www.fragrantica.com/perfume/Viktor-Rolf/Spicebomb-13857.html,pending,pending,no-applicable,true,medium,not-audited,pending,Viktor & Rolf Spicebomb,"Amaderado especiado explosivo; frasco en forma de granada, ícono masculino de la marca.",draft,"El sitio oficial no publica pirámide top/middle/base tradicional con niveles nombrados — describe 3 bloques narrativos (apertura/corazón/fondo) mapeados 1:1. Precio de $182/50ml encontrado en oficial NO se confirmó con certeza que corresponda a esta EDT estándar vs. variantes (Extreme/Infrared) — se deja price_segment pending por el conflicto, no se asume.",2026-08-07,2026-08-07
