slug,image_url,image_source,image_source_type,verification_note
chanel-no5-edp,https://www.incendia.mv/cdn/shop/files/ChanelNo5_2.png?v=1723956405&width=1946,https://www.incendia.mv/products/chanel-no-5-edp-100ml-w,retailer-verified,Exact Chanel No.5 Eau de Parfum bottle verified visually
musc-ravageur-edp,https://scentira.in/cdn/shop/files/Frederic_malle_musc_ravageur_edp_1_9ea53f86-283d-4803-b3be-deead946677c.png?v=1756889459&width=1000,https://scentira.in/products/frederic-malle-musc-ravageur-eau-de-parfum,retailer-verified,Exact Frederic Malle Musc Ravageur Eau de Parfum bottle verified visually
angels-share-edp,https://hrd-live.cdn.scayle.cloud/images/749a5310bb0191051390a445b19be620.jpg?quality=75,https://www.harrods.com/en-us/p/kilian-angels-share-eau-de-parfum-100ml-000000000007406612,retailer-verified,Exact Kilian Angels Share Eau de Parfum bottle verified visually
straight-to-heaven-white-cristal-edp,https://www.elpalaciodehierro.com/on/demandware.static/-/Sites-palacio-master-catalog/default/dwce49f158/images/43883854/large/43883854_x1.jpg,https://www.elpalaciodehierro.com/kilian-paris-perfume-straight-to-heaven-eau-de-parfum-100-ml-unisex-43883854.html,retailer-verified,Exact Straight to Heaven white cristal Eau de Parfum retail bottle verified visually
not-a-perfume-edp,https://momperfume.in/cdn/shop/files/juliette-has-a-gun-not-a-perfume_6ccc7e1e-2a37-4ff5-9bb5-dc337447bfa5.jpg?v=1720103921,https://momperfume.in/products/juliette-has-a-gun-not-a-perfume-edp-2,retailer-verified,Exact Juliette Has a Gun Not a Perfume Eau de Parfum bottle verified visually
taif-edp,https://www.olfactoryfactoryllc.com/cdn/shop/products/ormonde-jayne-ta-if-eau-de-parfum-en.jpg?v=1661258154,https://www.olfactoryfactoryllc.com/products/ormonde-jayne-taif-eau-de-parfum,retailer-verified,Exact Ormonde Jayne Taif Eau de Parfum bottle verified visually
luna-rossa-edt,https://media.marionnaud.ch/medias/sys_master/prd-images/h2b/h38/12437920514078/prd-front-69287600_2000x2000/prd-front-69287600-2000x2000.jpg,https://www.marionnaud.ch/fr/prada/luna-rossa/eau-de-toilette/p/BP_69287600,retailer-verified,Exact Prada Luna Rossa Eau de Toilette bottle verified visually
amen-edt,https://inter.mugler.com/dw/image/v2/BDCR_PRD/on/demandware.static/-/Sites-mugler-master-catalog/default/dwe035803b/images/pdp/M020101024/3439600055726-amen-eau-de-toilette-100ml-main.jpg?q=70&sfrm=png&sh=1224&sm=cut&sw=1224,https://inter.mugler.com/int/fragrance/men-s-fragrances/a-men/a-men-eau-de-toilette/M020101024.html,official,Exact A*MEN Eau de Toilette image from Mugler official product page
phantom-edt,https://www.beautyhub.com.bd/uploads/all/gRGHTbtGABpMCCJWWWoq6cH6tWm7za6TJfZ6nlh0.webp,https://www.beautyhub.com.bd/product/paco-rabanne-phantom-edt-100ml-ptonz,retailer-verified,Exact Paco Rabanne Phantom Eau de Toilette bottle verified visually
loewe-001-woman-edp,https://www.smellattractiveperfumes.com/10101-large_default/loewe-001-w-edp-100ml.jpg,https://www.smellattractiveperfumes.com/perfumes/loewe-001-w-edp-100ml.html,retailer-verified,Exact Loewe 001 Woman Eau de Parfum bottle verified visually
loewe-001-man-edp,https://media.neimanmarcus.com/f_auto%2Cq_auto%3Alow%2Car_4%3A5%2Cc_fill%2Cdpr_2.0%2Cw_456/01/nm_4446204_100836_m,https://www.neimanmarcus.com/p/loewe-001-man-eau-de-parfum-3-4-oz-prod257750349,retailer-verified,Exact Loewe 001 Man Eau de Parfum bottle verified visually
new-york-signature-scent-pure-perfume,https://cdn2.jomashop.com/media/catalog/product/n/e/new-york-signature-bond-no9-edp-spray-33-oz-100-ml-u-888874002111.jpg,https://www.jomashop.com/bond-no-9-perfume-9nyses33.html,retailer-verified,Gold Bond No.9 Signature Scent bottle matched to official 30 percent pure perfume product identity
