row,id,slug,duplicate_key,decision,reason
2,1,chanel-no5-edp,chanel|no.5|edp,keep,
3,2,tobacco-vanille-edp,tom ford|tobacco vanille|edp,keep,
4,3,santal-33-edp,le labo|santal 33|edp,keep,
5,4,shalimar-edp,guerlain|shalimar|edp,keep,
6,5,eros-parfum,versace|eros|parfum,keep,
7,6,paradoxe-edp,prada|paradoxe|edp,keep,
8,7,armani-code-parfum,giorgio armani|code|parfum,keep,
9,8,naxos-edp,xerjoff|naxos|edp,keep,
10,9,side-effect-edp,initio parfums prives|side effect|edp,keep,
11,10,212-vip-edp,carolina herrera|212 vip|edp,keep,
12,11,explorer-edp,montblanc|explorer|edp,keep,
13,12,scandal-edp,jean paul gaultier|scandal|edp,keep,
14,13,the-one-for-men-edt,dolce & gabbana|the one for men|edt,keep,
15,14,interlude-woman-edp,amouage|interlude woman|edp,keep,
16,15,vibrant-leather-edp,zara|vibrant leather|edp,keep,
17,16,cloud-edp,ariana grande|cloud|edp,keep,
18,17,gypsy-water-edp,byredo|gypsy water|edp,keep,
19,18,percival-edp,parfums de marly|percival|edp,keep,
20,19,ani-extrait,nishane|ani|extrait,keep,
21,20,cedrat-boise-edp,mancera|cedrat boise|edp,keep,
22,21,born-in-roma-uomo-edt,valentino|uomo born in roma|edt,keep,
23,22,terre-d-hermes-parfum,hermes|terre d'hermes|parfum,keep,
24,23,vanilla-28-edp,kayali|vanilla | 28|edp,keep,
25,24,elysium-pour-homme-parfum-cologne,roja parfums|elysium pour homme parfum cologne|parfum cologne,keep,
26,25,replica-jazz-club-edt,maison margiela|replica jazz club|edt,keep,
