id,slug,brand,name,concentration,gender,family,subfamily,launch_year,perfumer,country,description,top_notes,middle_notes,base_notes,accords,season,occasion,longevity,sillage,price_segment,amazon_url,source_url,image_url,image_source,affiliate_status,source_verified,data_confidence,visual_quality,review_status,seo_title,seo_description,status,notes,created_at,updated_at,reject_reason,catalog_relation,quality_status
9,daisy-edt,Marc Jacobs,Daisy,EDT,femenino,pending,pending,2007,Alberto Morillas,Estados Unidos,"Fresco floral juvenil; frasco icónico con tapa de margaritas, ícono de la marca.",hoja de violeta;pomelo;fresa silvestre,violeta;gardenia;jazmin,almizcle blanco;notas amaderadas;vainilla,,,,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Marc-Jacobs/Daisy-1361.html;https://www.marcjacobs.com/us-en/daisy-eau-de-toilette-100-ml/31655513034.html,pending,pending,no-applicable,true,medium,not-audited,pending,Marc Jacobs Daisy,"Fresco floral juvenil; frasco icónico con tapa de margaritas, ícono de la marca.",draft,Family no confirmada con clasificación formal en ninguna fuente. Variación menor de traducción entre fuentes en 'fresa'/'fresa silvestre' — se usó la más específica. price_segment sin fuente confiable.,2026-08-07,2026-08-07,Fila con errores de validación bloqueantes en campos críticos (ver reporte de validate.mjs),NEW,REJECTED
13,boss-bottled-edt,Hugo Boss,Boss Bottled,EDT,masculino,oriental fougere,pending,1998,Annick Ménardo; Christian Dussoulier,Alemania,Fougère oriental clásico masculino; uno de los más reconocibles de la marca desde los 90.,,,,ciruela;musgo de roble;manzana;limon;bergamota;geranio;caoba;clavo;canela;sandalo;oliva;vainilla;vetiver,,,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Hugo-Boss/Boss-Bottled-383.html,pending,pending,no-applicable,true,low,not-audited,pending,Hugo Boss Boss Bottled,Fougère oriental clásico masculino; uno de los más reconocibles de la marca desde los 90.,draft,"CONFLICTO DE PIRÁMIDE NO RESUELTO: dos versiones de la pirámide top/middle/base aparecieron en fuentes secundarias con inconsistencias entre sí (una incluye musgo de roble/ámbar/almizcle en base, otra no). Se optó por NO forzar ninguna de las dos versiones conflictivas como definitiva — se registró la unión de notas mencionadas como 'accords' sin nivel, y top/middle/base quedan pending hasta re-verificación directa contra fuente única confiable. Requiere segunda pasada dedicada si se prioriza este registro.",2026-08-07,2026-08-07,Fila con errores de validación bloqueantes en campos críticos (ver reporte de validate.mjs),NEW,REJECTED
14,chloe-edp,Chloé,Chloé,EDP,femenino,pending,pending,2008,Amandine Clerc-Marie; Michel Almairac,Francia,Floral rosado epónimo de la maison; elegancia parisina en un frasco icónico color rosa pálido.,peonia;lichi;fresia,rosa;lirio de los valles;magnolia,cedro de virginia;ambar,,,,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Chloe/Chloe-Eau-de-Parfum-1733.html;https://www.chloe.com/us/fragrance_cod46467853gk.html,pending,pending,no-applicable,true,medium,not-audited,pending,Chloé Chloé,Floral rosado epónimo de la maison; elegancia parisina en un frasco icónico color rosa pálido.,draft,Family no confirmada con clasificación formal en ninguna fuente. price_segment sin fuente confiable.,2026-08-07,2026-08-07,Fila con errores de validación bloqueantes en campos críticos (ver reporte de validate.mjs),NEW,REJECTED
18,philosykos-edt,Diptyque,Philosykos,EDT,unisex,pending,pending,1996,pending,Francia,"Verde acuoso de higuera; evoca el mediterráneo con hoja, savia y madera de higuera.",,,,hoja de higuera;savia de higuera;madera de higuera;pimienta negra,,,pending,pending,premium,pending,https://us.diptyqueparis.com/en-us/products/eau-de-toilette-philosykos-philo100v2,pending,pending,no-applicable,true,high,not-audited,pending,Diptyque Philosykos,"Verde acuoso de higuera; evoca el mediterráneo con hoja, savia y madera de higuera.",draft,"Confirmado en sitio oficial: Diptyque NO separa por niveles top/middle/base para este producto — publica lista plana de 4 notas. Se preserva esa realidad, no se fuerza pirámide. Precio confirmado oficial: $145/50ml, $195/100ml.",2026-08-07,2026-08-07,Fila con errores de validación bloqueantes en campos críticos (ver reporte de validate.mjs),NEW,REJECTED
19,do-son-edt,Diptyque,Do Son,EDT,femenino,pending,pending,2005,pending,Francia,"Floral blanco marino; tuberosa sobre brisa de mar, evocando el jardín natal de sus fundadores en Vietnam.",,,,tuberosa;jazmin;azahar,,,pending,pending,pending,pending,https://www.diptyqueparis.com/en_us/p/do-son-eau-de-toilette-1.html,pending,pending,no-applicable,true,medium,not-audited,pending,Diptyque Do Son,"Floral blanco marino; tuberosa sobre brisa de mar, evocando el jardín natal de sus fundadores en Vietnam.",draft,"Confirmado en sitio oficial: sin pirámide por niveles, descripción narrativa de 3 notas. Existe también versión EDP, distinta — se registró específicamente EDT. price_segment sin precio confiable capturado.",2026-08-07,2026-08-07,Fila con errores de validación bloqueantes en campos críticos (ver reporte de validate.mjs),NEW,REJECTED
22,ambre-sultan-edp,Serge Lutens,Ambre Sultan,EDP,unisex,pending,pending,1993,pending,Francia,"Ambarado herbal especiado; una de las composiciones más veneradas de Serge Lutens, sin concesión a la dulzura fácil.",,,,resinas;ambar;laurel;mirra;benjui;sandalo;vainilla;cilantro;oregano;pachuli;angelica;mirto,,,pending,pending,pending,pending,https://sergelutens.com/products/ambre-sultan-eau-de-parfum-spray,pending,pending,no-applicable,true,low,not-audited,pending,Serge Lutens Ambre Sultan,"Ambarado herbal especiado; una de las composiciones más veneradas de Serge Lutens, sin concesión a la dulzura fácil.",draft,"El sitio oficial NO publica desglose de notas para este producto. La lista de notas (sin pirámide, sin niveles) proviene únicamente de fuentes secundarias (Fragrantica/Parfumo), no confirmada en oficial — perfumer (Christopher Sheldrake) tampoco confirmado en oficial. data_confidence bajo por depender enteramente de fuente secundaria para notas y perfumista.",2026-08-07,2026-08-07,Fila con errores de validación bloqueantes en campos críticos (ver reporte de validate.mjs),NEW,REJECTED
25,halfeti-edp,Penhaligon's,Halfeti,EDP,unisex,pending,pending,2015,pending,Reino Unido,Oriental amaderado inspirado en la ciudad turca sumergida de Halfeti; rosa búlgara sobre oud y cuero.,hoja de ciprés;azafran;cardamomo;artemisa;bergamota;pomelo,rosa bulgara;nuez moscada;jazmin,agarwood (oud);cedro;cuero;sandalo;ambar;haba tonka;vainilla;almizcle,,,,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Penhaligon-s/Halfeti-31396.html,pending,pending,no-applicable,true,low,not-audited,pending,Penhaligon's Halfeti,Oriental amaderado inspirado en la ciudad turca sumergida de Halfeti; rosa búlgara sobre oud y cuero.,draft,"No se accedió a penhaligons.com directamente en esta investigación — todos los datos (family, launch_year, perfumer, notas) provienen únicamente de Fragrantica, fuente secundaria. data_confidence bajo por falta de confirmación en fuente oficial.",2026-08-07,2026-08-07,Fila con errores de validación bloqueantes en campos críticos (ver reporte de validate.mjs),NEW,REJECTED
30,angels-share-edp,By Kilian,Angels' Share,EDP,unisex,pending,pending,2020,Benoist Lapouza,Francia,Gourmand amaderado de la colección 'The Liquors'; cognac y roble evocando una bodega de añejamiento.,cognac,roble;canela,haba tonka;sandalo,,,,pending,pending,lujo,pending,https://www.bykilian.com/product/19797/82905/perfume/angels-share/the-liquors,pending,pending,no-applicable,true,medium,not-audited,pending,By Kilian Angels' Share,Gourmand amaderado de la colección 'The Liquors'; cognac y roble evocando una bodega de añejamiento.,draft,"Pirámide de 5 notas confirmada en sitio oficial (coexiste con un resumen de 3 'notas principales': cognac, haba tonka, roble). Nombre del perfumista aparece con dos grafías distintas en el propio sitio ('Benoist Lapouza' en créditos formales, 'Benoit Lapouza' en otra sección) — se usó la grafía de la sección de créditos. launch_year de fuente secundaria (Fragrantica), no confirmado en oficial. price_segment sin precio unitario claro capturado (sitio muestra múltiples formatos sin precio único).",2026-08-07,2026-08-07,Fila con errores de validación bloqueantes en campos críticos (ver reporte de validate.mjs),NEW,REJECTED
32,eau-rose-edt,Diptyque,Eau Rose,EDT,femenino,pending,pending,2012,pending,Francia,Floral rosado luminoso; rosa damascena y centifolia con un giro afrutado de lichi.,,,,rosa damascena;rosa centifolia;acorde de lichi;ambroxan,,,pending,pending,pending,pending,https://www.diptyqueparis.com/en_us/p/eau-de-toilette-eau-rose-50ml-1.html,pending,pending,no-applicable,true,medium,not-audited,pending,Diptyque Eau Rose,Floral rosado luminoso; rosa damascena y centifolia con un giro afrutado de lichi.,draft,"Confirmado en sitio oficial: sin pirámide por niveles, lista plana de 4 notas principales. Existe también versión EDP, distinta — se registró específicamente EDT. price_segment sin precio confiable capturado.",2026-08-07,2026-08-07,Fila con errores de validación bloqueantes en campos críticos (ver reporte de validate.mjs),NEW,REJECTED
36,bat-extrait,Zoologist Perfumes,Bat,Extrait,unisex,pending,pending,2020,Prin Lomros,Canada,Extrait inspirado en cuevas tropicales; higo y fruta de la pasión sobre acordes minerales y de cuero.,higo;fruta de la pasion;guayaba rosada;acorde de tierra,heno;incienso;minerales;jazmin nocturno,notas animalicas (sinteticas);cuero (sintetico);piedras musgosas;madera de teca;vetiver,,,,pending,pending,lujo,pending,https://www.zoologistperfumes.com/products/zoologist-bat-deluxe-bottle,pending,pending,no-applicable,true,high,not-audited,pending,Zoologist Perfumes Bat,Extrait inspirado en cuevas tropicales; higo y fruta de la pasión sobre acordes minerales y de cuero.,draft,"CORRECCIÓN DE CONCENTRACIÓN: el encargo original pedía 'Eau de Parfum', pero el sitio oficial confirma que la edición vigente (2020) es Extrait de Parfum al 20%, no EDP — se registró la concentración real. Existe una versión original de 2015 descontinuada con perfumista distinto (Ellen Covey) y notas diferentes — se registró la edición 2020 vigente. La marca aclara explícitamente que no usa productos animales pese a los nombres de notas 'animalic'/'leather'. Precio oficial confirmado: $200/60ml.",2026-08-07,2026-08-07,Fila con errores de validación bloqueantes en campos críticos (ver reporte de validate.mjs),NEW,REJECTED
