row,id,slug,field,from,to,reason
2,1,opium-edp,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
3,2,poison-edt,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
4,3,alien-edp,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
5,4,linterdit-edp,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
6,5,for-her-edp,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
7,6,leau-dissey-edt,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
8,7,eternity-edp,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
9,8,burberry-her-edp,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
10,9,daisy-edt,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
11,10,spicebomb-edt,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
12,11,invictus-edt,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
13,12,wanted-edt,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
14,13,boss-bottled-edt,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
15,14,chloe-edp,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
16,15,tresor-edp,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
17,16,mon-guerlain-edp,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
18,17,beautiful-edp,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
19,18,philosykos-edt,price_status,,verified,derivado determinísticamente de price_segment (nunca se lee notes)
20,19,do-son-edt,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
21,20,portrait-of-a-lady-edp,price_status,,verified,derivado determinísticamente de price_segment (nunca se lee notes)
22,21,musc-ravageur-edp,price_status,,verified,derivado determinísticamente de price_segment (nunca se lee notes)
23,22,ambre-sultan-edp,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
24,23,wonderwood-edp,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
25,24,colonia-edc,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
26,25,halfeti-edp,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
27,26,no1-masculine-parfum,price_status,,verified,derivado determinísticamente de price_segment (nunca se lee notes)
28,27,more-than-words-edp,price_status,,verified,derivado determinísticamente de price_segment (nunca se lee notes)
29,28,jubilation-xxv-man-edp,price_status,,verified,derivado determinísticamente de price_segment (nunca se lee notes)
30,29,jubilation-25-woman-edp,price_status,,verified,derivado determinísticamente de price_segment (nunca se lee notes)
31,30,angels-share-edp,price_status,,verified,derivado determinísticamente de price_segment (nunca se lee notes)
32,31,straight-to-heaven-white-cristal-edp,price_status,,verified,derivado determinísticamente de price_segment (nunca se lee notes)
33,32,eau-rose-edt,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
34,33,not-a-perfume-edp,price_status,,verified,derivado determinísticamente de price_segment (nunca se lee notes)
35,34,rien-edp,price_status,,verified,derivado determinísticamente de price_segment (nunca se lee notes)
36,35,taif-edp,price_status,,verified,derivado determinísticamente de price_segment (nunca se lee notes)
37,36,bat-extrait,concentration,Extrait de Parfum,Extrait,alias de concentración conocido normalizado a forma canónica
37,36,bat-extrait,price_status,,verified,derivado determinísticamente de price_segment (nunca se lee notes)
38,37,bleu-de-chanel-parfum,price_status,,verified,derivado determinísticamente de price_segment (nunca se lee notes)
39,38,green-irish-tweed-edp,price_status,,verified,derivado determinísticamente de price_segment (nunca se lee notes)
40,39,millesime-imperial-edp,price_status,,verified,derivado determinísticamente de price_segment (nunca se lee notes)
41,40,habit-rouge-edt,price_status,,verified,derivado determinísticamente de price_segment (nunca se lee notes)
42,41,coco-mademoiselle-edp,price_status,,verified,derivado determinísticamente de price_segment (nunca se lee notes)
43,42,luna-rossa-edt,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
44,43,signorina-edp,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
45,44,leau-dissey-pour-homme-edt,price_status,,verified,derivado determinísticamente de price_segment (nunca se lee notes)
46,45,amen-edt,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
47,46,phantom-edt,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
48,47,loewe-001-woman-edp,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
49,48,loewe-001-man-edp,price_status,,unverified,derivado determinísticamente de price_segment (nunca se lee notes)
50,49,black-afgano-extrait,concentration,Extrait de Parfum,Extrait,alias de concentración conocido normalizado a forma canónica
50,49,black-afgano-extrait,price_status,,verified,derivado determinísticamente de price_segment (nunca se lee notes)
51,50,new-york-signature-scent-pure-perfume,concentration,Pure Perfume 30%,Pure Perfume 30%,"concentración fuera del set canónico conocido — conservada tal cual (no es un enum cerrado, ver SCHEMA_COMPARISON.md #A), quedará como warning en la próxima validación"
51,50,new-york-signature-scent-pure-perfume,price_status,,verified,derivado determinísticamente de price_segment (nunca se lee notes)
